SK_ID_CURR,TARGET,AGE,AMT_INCOME_TOTAL,AMT_CREDIT,DURATION_MONTHS,EMPLOYMENT_YEARS,CHECKING_STATUS,SAVINGS_STATUS,PURPOSE,HOUSING,NUM_DEPENDENTS,EXISTING_CREDITS,DELINQUENCIES_2YR,DEBT_TO_INCOME,CREDIT_UTILIZATION
100001,0,25,106598.07,18858.62,24,3.4,negative,unknown,furniture,own,0,3,1,0.1769,0.1589
100002,0,58,83606.2,500.0,36,1.0,0_to_200,low,electronics,rent,4,0,1,0.006,0.301
100003,1,53,94069.58,5279.48,24,3.8,0_to_200,medium,electronics,rent,1,2,0,0.0561,0.6504
100004,0,42,52271.28,7738.89,48,1.5,no_account,unknown,renovation,own,0,2,1,0.148,0.2772
100005,0,42,49912.89,21650.51,18,0.7,negative,unknown,furniture,with_parents,1,4,0,0.4338,0.1879
100006,0,63,56686.93,18371.82,60,11.6,no_account,low,car,own,0,2,0,0.3241,0.2385
100007,0,25,46147.1,9413.48,18,2.3,no_account,high,furniture,own,3,3,0,0.204,0.2535
100008,0,55,52036.48,16300.93,60,8.1,0_to_200,low,business,rent,1,0,1,0.3133,0.2386
100009,0,30,63803.7,5477.94,18,7.5,no_account,high,electronics,with_parents,2,4,0,0.0859,0.5008
100010,0,25,36828.95,33446.75,24,2.3,0_to_200,medium,business,own,2,1,1,0.9081,0.2997
100011,0,46,18439.19,20169.22,60,2.0,negative,low,electronics,own,0,0,0,1.0938,0.4781
100012,0,68,55209.02,22075.59,18,5.9,200_plus,unknown,furniture,own,1,2,0,0.3998,0.0394
100013,0,57,31195.14,27391.3,48,0.1,200_plus,low,furniture,rent,1,0,0,0.878,0.1461
100014,0,58,36448.63,24146.19,24,6.5,no_account,low,education,own,3,3,0,0.6625,0.208
100015,0,56,42839.66,15283.74,24,1.4,0_to_200,unknown,furniture,own,1,0,0,0.3568,0.4734
100016,0,59,38058.85,13335.32,36,1.0,no_account,low,car,own,3,2,0,0.3504,0.1116
100017,1,46,67810.89,26594.56,12,1.2,negative,low,furniture,with_parents,0,1,0,0.3922,0.0893
100018,0,27,46274.09,15238.82,36,9.2,0_to_200,high,car,own,0,3,0,0.3293,0.3962
100019,0,62,73734.54,8258.84,12,11.1,no_account,high,electronics,own,2,3,0,0.112,0.4346
100020,0,43,50266.92,32699.69,36,2.3,0_to_200,medium,electronics,own,1,3,0,0.6505,0.0495
100021,0,45,45868.18,6576.65,36,5.3,no_account,unknown,electronics,own,1,4,0,0.1434,0.3024
100022,0,39,61885.62,500.0,12,27.4,200_plus,low,furniture,with_parents,1,4,0,0.0081,0.3239
100023,1,29,19609.04,23934.99,12,0.9,negative,unknown,car,rent,1,1,1,1.2205,0.3987
100024,0,66,53706.35,8418.78,36,3.9,no_account,low,car,rent,1,2,0,0.1568,0.4482
100025,0,59,62515.6,18915.87,12,1.1,no_account,low,furniture,own,0,4,0,0.3026,0.713
100026,0,52,71581.84,31354.9,36,13.5,0_to_200,low,business,own,0,2,1,0.438,0.1822
100027,0,40,18119.41,2626.38,60,0.3,0_to_200,unknown,car,own,0,0,0,0.1449,0.4873
100028,0,61,14769.08,14631.76,12,0.3,0_to_200,high,car,own,0,4,0,0.9906,0.3809
100029,0,47,35497.88,28350.68,24,2.5,negative,unknown,car,own,0,3,0,0.7986,0.3124
100030,0,42,72957.1,21136.98,60,0.5,negative,medium,electronics,own,0,1,0,0.2897,0.257
100031,0,43,50334.29,13381.61,60,1.8,0_to_200,low,furniture,rent,2,0,0,0.2658,0.6502
100032,1,32,33487.8,36504.42,6,8.0,no_account,low,furniture,own,1,3,0,1.09,0.5478
100033,0,25,16963.72,14142.14,48,2.0,no_account,unknown,furniture,with_parents,1,1,1,0.8336,0.8251
100034,0,48,31395.82,18571.87,18,0.2,no_account,medium,business,own,2,4,2,0.5915,0.2934
100035,0,64,38388.03,29844.19,36,16.8,0_to_200,low,furniture,own,1,2,0,0.7774,0.3859
100036,1,24,64065.49,23827.77,24,0.7,negative,low,car,own,1,0,1,0.3719,0.6115
100037,0,63,67114.06,26895.48,18,3.7,no_account,medium,education,rent,1,0,0,0.4007,0.1989
100038,0,61,25875.35,6904.14,24,3.7,200_plus,unknown,renovation,rent,1,0,1,0.2668,0.5846
100039,0,34,61164.08,26053.57,12,2.2,negative,low,electronics,with_parents,3,2,0,0.426,0.3136
100040,0,51,58039.95,16526.33,24,0.0,no_account,medium,car,own,1,2,1,0.2847,0.4242
100041,0,29,22855.93,8287.99,24,2.9,negative,low,education,own,0,3,0,0.3626,0.4876
100042,0,58,44067.31,16997.5,60,1.5,200_plus,medium,furniture,with_parents,1,3,0,0.3857,0.1637
100043,0,55,54566.1,16712.22,24,5.5,0_to_200,low,business,own,0,4,0,0.3063,0.1314
100044,0,38,48390.06,31812.8,36,0.3,0_to_200,medium,electronics,rent,1,2,0,0.6574,0.1307
100045,0,24,14075.46,18431.66,12,6.6,0_to_200,medium,electronics,with_parents,1,3,0,1.3094,0.4658
100046,0,68,50255.44,7972.76,60,5.3,negative,medium,furniture,own,0,0,0,0.1586,0.2192
100047,0,42,60410.12,5897.15,24,5.4,0_to_200,low,car,own,2,3,0,0.0976,0.3671
100048,0,64,79287.04,14573.42,12,5.4,0_to_200,low,furniture,rent,1,2,0,0.1838,0.2051
100049,0,54,38340.4,2882.71,36,13.4,no_account,medium,car,rent,0,3,0,0.0752,0.1249
100050,0,59,34370.46,8561.8,18,0.6,negative,low,business,own,2,1,0,0.2491,0.1117
100051,0,58,41016.34,12802.28,18,0.4,no_account,high,car,with_parents,1,1,0,0.3121,0.1769
100052,0,30,51010.61,11203.03,18,0.4,0_to_200,medium,business,rent,0,1,0,0.2196,0.2297
100053,0,38,48725.84,21542.17,24,3.6,no_account,unknown,education,own,2,4,0,0.4421,0.1501
100054,0,43,57357.08,8359.55,18,0.5,negative,low,business,own,0,0,0,0.1457,0.2967
100055,0,45,24327.69,500.0,36,3.7,200_plus,medium,education,rent,0,3,0,0.0206,0.1497
100056,1,23,54930.59,500.0,12,4.0,negative,unknown,furniture,with_parents,1,4,1,0.0091,0.1554
100057,0,47,30430.19,14839.64,12,0.5,no_account,unknown,electronics,own,1,1,0,0.4876,0.329
