feature,iv
DEBT_TO_INCOME,0.26925433170387253
CHECKING_STATUS,0.19688637163970693
AMT_INCOME_TOTAL,0.15167231083418348
AMT_CREDIT,0.11528378708390111
SAVINGS_STATUS,0.09705578131708238
EMPLOYMENT_YEARS,0.0549056501507843
CREDIT_UTILIZATION,0.030643107156298713
DELINQUENCIES_2YR,0.028806946318139934
AGE,0.026206213224719156
NUM_DEPENDENTS,0.0068426928481527365
HOUSING,0.005107128014917372
PURPOSE,0.0018209923389078447
EXISTING_CREDITS,0.0007003968302539376
DURATION_MONTHS,0.0006768014347730579
